1308,就活関係,"ユーキャンの一般常識スピードチェック定番の1,000問 第4版（就職活動の神様のテスト対策!）","ユーキャン就職試験研究会",2014,2015,ユーキャン,9784426605964,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000024128,https://elib.maruzen.co.jp/app/images/l/8/3000024128.jpg
1309,就活関係,"よくわかる森式就活面接 [2016年度版] （森ゼミ×就職活動の神様）","森, 吉弘,ユーキャン就職試験研究会,",2014,2015,ユーキャン,9784426605940,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000024122,https://elib.maruzen.co.jp/app/images/l/2/3000024122.jpg
1310,就活関係,"よくわかる森式就活履歴書・エントリーシート [2016年度版] （森ゼミ×就職活動の神様）","森, 吉弘,ユーキャン就職試験研究会,",2014,2015,ユーキャン,9784426605957,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000024121,https://elib.maruzen.co.jp/app/images/l/1/3000024121.jpg
1311,就活関係,一般常識 2019年度版 ―要点マスター!―,"マイナビ出版編集部",2017,2017,"マイナビ出版",9784839962968,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000043077,https://elib.maruzen.co.jp/app/images/l/7/3000043077.jpg
1312,就活関係,一般常識 2020年度版 ―要点マスター!―,"マイナビ出版編集部",2018,2018,"マイナビ出版",9784839966133,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000053052,https://elib.maruzen.co.jp/app/images/l/2/3000053052.jpg
1313,就活関係,一般常識 2022年度版 ―要点マスター!―,"マイナビ出版編集部",2020,2020,"マイナビ出版",9784839972608,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000090003,https://elib.maruzen.co.jp/app/images/l/3/3000090003.jpg
1314,就活関係,"一般常識即戦力問題集 2019年度版 （内定獲得のメソッド）","マイナビ出版編集部",2017,2017,"マイナビ出版",9784839962951,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000043070,https://elib.maruzen.co.jp/app/images/l/0/3000043070.jpg
1315,就活関係,"一般常識即戦力問題集 2020年度版 （内定獲得のメソッド）","マイナビ出版編集部",2018,2018,"マイナビ出版",9784839966072,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000053046,https://elib.maruzen.co.jp/app/images/l/6/3000053046.jpg
1316,就活関係,"一般常識即戦力問題集 2022年度版 （内定獲得のメソッド）","マイナビ出版編集部",2020,2020,"マイナビ出版",9784839972578,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000090011,https://elib.maruzen.co.jp/app/images/l/1/3000090011.jpg
1317,就活関係,"学生のためのワークルール入門 ―アルバイト・インターンシップ・就活でトラブルにならないために―第2版","道幸 哲也,淺野高宏,職場の権利教育ネットワーク",2020,2020,旬報社,9784845116324,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000091856,https://elib.maruzen.co.jp/app/images/l/6/3000091856.jpg
1318,就活関係,"業界&職種研究ガイド 2019年度版 ―自分に合った仕事は何だろう?―（内定獲得のメソッド）","マイナビ編集部,岡, 茂信,",2017,2017,"マイナビ出版",9784839962944,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000043076,https://elib.maruzen.co.jp/app/images/l/6/3000043076.jpg
1319,就活関係,"業界&職種研究ガイド 2020年度版 ―自分に合った仕事は何だろう?―（内定獲得のメソッド）","マイナビ出版編集部,岡, 茂信,",2018,2018,"マイナビ出版",9784839966102,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000053051,https://elib.maruzen.co.jp/app/images/l/1/3000053051.jpg
1320,就活関係,"業界&職種研究ガイド 2022年度版 ―自分に合った仕事は何だろう?―（内定獲得のメソッド）","マイナビ出版編集部,岡, 茂信,",2020,2020,"マイナビ出版",9784839972646,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000090007,https://elib.maruzen.co.jp/app/images/l/7/3000090007.jpg
1321,就活関係,公務員をめざす人に贈る行政法教科書,板垣  勝彦,2018,2019,法律文化社,9784589039514,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000076725,https://elib.maruzen.co.jp/app/images/l/5/3000076725.jpg
1322,就活関係,"口語表現ワークブック ―自己表現スキルをみがく―（専門基礎ライブラリー）","荒木, 晶子",2004,2013,実教出版,9784407306132,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000007499,https://elib.maruzen.co.jp/app/images/l/9/3000007499.jpg
1323,就活関係,"工業系学生のための就活ガイダンス ―モノづくり関連企業への就職を考える―","粟津, 敬雄",2014,2017,丸善雄松堂,9784907532017,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000041272,https://elib.maruzen.co.jp/app/images/l/2/3000041272.jpg
1324,就活関係,高校・大学の未就職者への支援 (support),"小杉, 礼子,堀, 有喜衣,",2013,2015,勁草書房,9784326653836,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000017611,https://elib.maruzen.co.jp/app/images/l/1/3000017611.jpg
1325,就活関係,"高校就職指導の社会学 ―「日本型」移行を再考する―","堀, 有喜衣",2016,2016,勁草書房,9784326602933,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000034351,https://elib.maruzen.co.jp/app/images/l/1/3000034351.jpg
1326,就活関係,"自己分析 2019年度版 ―適職へ導く書きこみ式ワークシート―（内定獲得のメソッド）","岡, 茂信",2017,2017,"マイナビ出版",9784839962852,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000043068,https://elib.maruzen.co.jp/app/images/l/8/3000043068.jpg
1327,就活関係,"自己分析 2020年度版 ―適職へ導く書きこみ式ワークシート―（内定獲得のメソッド）","岡, 茂信",2018,2018,"マイナビ出版",9784839966065,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000053045,https://elib.maruzen.co.jp/app/images/l/5/3000053045.jpg
