1656,理工,マンガでわかる人工知能 ―all about artificialintelligence―,"藤木, 俊明,山田,みらい,",2017,2017,インプレスＲ＆Ｄ／インプレスビジネスメディア,9.7843E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000043598,https://elib.maruzen.co.jp/app/images/l/8/3000043598.jpg
1667,理工,宇宙のことがだいたいわかる通読できる宇宙用語集 【スマホ・読上】（Beret science）,"郷田, 直輝",2014,2018,ベレ出版,9.78486E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000060511,https://elib.maruzen.co.jp/app/images/l/1/3000060511.jpg
1668,理工,宇宙物理学入門 ―現代宇宙物理学のΑからΩ―第2版,"伏見, 賢一",2015,2016,大学教育出版,9.78486E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000032141,https://elib.maruzen.co.jp/app/images/l/1/3000032141.jpg
1671,理工,応用微分方程式 （現代基礎数学 10）,"小川, 卓克",2017,2018,朝倉書店,9.78425E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000049360,https://elib.maruzen.co.jp/app/images/l/0/3000049360.jpg
1674,理工,解析演習 （基礎数学 7）,"杉浦, 光夫,清水,英男,金子, 晃",1989,2017,東京大学出版会,9.78413E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000046851,https://elib.maruzen.co.jp/app/images/l/1/3000046851.jpg
1675,理工,解析入門 1 （基礎数学 2）,"杉浦, 光夫",1980,2017,東京大学出版会,9.78413E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000046843,https://elib.maruzen.co.jp/app/images/l/3/3000046843.jpg
1676,理工,解析入門 2 （基礎数学 3）,"杉浦, 光夫",1985,2017,東京大学出版会,9.78413E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000046844,https://elib.maruzen.co.jp/app/images/l/4/3000046844.jpg
1677,理工,確率微分方程式,"舟木, 直久",2005,2018,岩波書店,9.784E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000062614,https://elib.maruzen.co.jp/app/images/l/4/3000062614.jpg
1678,理工,確率微分方程式 （共立講座 数学の輝き 7）,"谷口, 説男,新井,仁之,小林, 俊行",2016,2017,共立出版,9.78432E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000043461,https://elib.maruzen.co.jp/app/images/l/1/3000043461.jpg
1679,理工,確率微分方程式入門 ―数理ファイナンスへの応用―（数学のかんどころ 26）,"石村, 直之",2014,2015,共立出版,9.78432E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000023072,https://elib.maruzen.co.jp/app/images/l/2/3000023072.jpg
1681,理工,関数解析,"岡本, 久,中村, 周,",2006,2018,岩波書店,9.784E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000062615,https://elib.maruzen.co.jp/app/images/l/5/3000062615.jpg
1682,理工,基礎から学ぶ人工知能の教科書,小高 知宏,2019,2020,オーム社,9.78427E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000093328,https://elib.maruzen.co.jp/app/images/l/8/3000093328.jpg
1683,理工,基礎高分子科学 改訂版,"澤口, 孝志,清水,繁,伊掛, 浩輝",2018,2020,共立出版,9.78432E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000086449,https://elib.maruzen.co.jp/app/images/l/9/3000086449.jpg
1685,理工,幾何学は微分しないと 新装版 ―微分幾何学入門―,"中内, 伸光",2019,2019,現代数学社,9.78477E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000076228,https://elib.maruzen.co.jp/app/images/l/8/3000076228.jpg
1694,理工,曲線と曲面の微分幾何 改訂版,"小林, 昭七",1995,2019,裳華房,9.78479E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000077156,https://elib.maruzen.co.jp/app/images/l/6/3000077156.jpg
1696,理工,現代解析学への誘い （現代数学への入門）,"俣野, 博",2004,2013,岩波書店,9.784E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000006062,https://elib.maruzen.co.jp/app/images/l/2/3000006062.jpg
1704,理工,雌雄淘汰,"チャールズ,ダーウィン,大畑, 達雄,",1926,2015,日本評論社,,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000023106,https://elib.maruzen.co.jp/app/images/l/6/3000023106.jpg
1708,理工,常微分方程式 （大学数学の入門 10）,"坂井, 秀隆",2015,2016,東京大学出版会,9.78413E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000028058,https://elib.maruzen.co.jp/app/images/l/8/3000028058.jpg
1713,理工,人工知能と商業デザイン ―クリエイティブ領域における「読書階層構造」構築の取り組み―【スマホ・読上】,"境, 祐司",2017,2019,詩想舎,,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000080404,https://elib.maruzen.co.jp/app/images/l/4/3000080404.jpg
1714,理工,数学解析（下） （数理解析シリーズ 1）,"溝畑, 茂",1973,2013,朝倉書店,9.78425E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000006550,https://elib.maruzen.co.jp/app/images/l/0/3000006550.jpg
1715,理工,数学解析（上） （数理解析シリーズ 1）,"溝畑, 茂",1973,2013,朝倉書店,9.78425E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000006549,https://elib.maruzen.co.jp/app/images/l/9/3000006549.jpg
1716,理工,数学好きの人のためのブックガイド,,2020,2020,日本評論社,,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000091158,https://elib.maruzen.co.jp/app/images/l/8/3000091158.jpg
1717,理工,数値解析 （共立講座 数学探検 17）,"齊藤, 宣一",2017,2017,共立出版,9.78432E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000049013,https://elib.maruzen.co.jp/app/images/l/3/3000049013.jpg
1718,理工,数値解析の原理 ―現象の解明をめざして―（岩波数学叢書）,"菊地, 文雄,齊藤,宣一,",2016,2018,岩波書店,9.784E+12,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000062680,https://elib.maruzen.co.jp/app/images/l/0/3000062680.jpg
