1394,"アカデミック・スキル","高校生・大学生のための読書の教科書 ―アウトプット力を高める11のワーク―","影山  陽子,松崎史周,稲井  達也",2019,2019,学事出版,9784761925567,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000079502
1395,"アカデミック・スキル","査読者が伝授する論文投稿・査読のコツ ―お作法を知ればこわくない : 新・専門医制度に備える!症例報告が書ける!―","細野, 茂春",2017,2017,"メディカ出版",9784840461665,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000043998
1396,"アカデミック・スキル","思考を鍛えるレポート・論文作成法 =Developing critical thinking to write papers第3版","井下, 千以子",2019,2019,"慶應義塾大学出版会",9784766425772,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000074382
1397,"アカデミック・スキル","自己表現の技法 ―文章表現・コミュニケーション・プレゼンテーション―（専門基礎ライブラリー）","畑山, 浩昭",2004,2013,実教出版,9784407303797,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000004608
1398,"アカデミック・スキル","実地調査入門 ―社会調査の第一歩―（アカデミック・スキルズ）","西山  敏樹,常盤拓司,鈴木  亮子",2015,2016,"慶應義塾大学出版会",9784766422566,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000027185
1399,"アカデミック・スキル","情報活用とアカデミック・スキル ―Office 2016―","松山  恵美子,黄海湘,八木  英一郎",2018,2019,共立出版,9784320124295,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000075567
1400,"アカデミック・スキル","生涯論文! ―忙しい臨床医でもできる英語論文アクセプトまでの道のり―","谷本, 哲也",2019,2019,金芳堂,9784765317795,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000075600
1401,"アカデミック・スキル","大学1年生からのプロジェクト学習の始めかた","常盤  拓司,西山敏樹,",2019,2019,"慶應義塾大学出版会",9784766426366,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000085416
1402,"アカデミック・スキル",大学1年生からの研究の始めかた,"西山, 敏樹",2016,2016,"慶應義塾大学出版会",9784766423648,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000034389
1403,"アカデミック・スキル",大学での学び ―その哲学と拡がり―,田中 俊也,2020,2020,"関西大学出版部",9784873547251,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000094985
1404,"アカデミック・スキル",大学生のための情報リテラシー,"張  磊,桐村  喬,",2018,2019,共立出版,9784320124288,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000074398
1405,"アカデミック・スキル","大学生のための知的技法入門 第3版（アカデミック・スキルズ）","湯川  武,横山  千晶,佐藤  望",2020,2020,"慶應義塾大学出版会",9784766426564,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000087016
1406,"アカデミック・スキル","大学生のための動画制作入門 ―言いたいことを映像で表現する技術―","黒岩  亜純,宮  徹,",2017,2017,"慶應義塾大学出版会",9784766424287,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000043491
1407,"アカデミック・スキル","文書作成・プレゼンに役立つ！実践ドリルで学ぶ Office活用術",noa出版,2019,2020,ｎｏａ出版,9784908434341,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000086873
1408,"アカデミック・スキル","明快な論理で綴ろう ―英語論文用語集―（医学・生物学研究者のためのpowerfulvocabulary 3）","林, 皓三郎,LauraC.Hooper,",2008,2013,"メジカルビュー社",9784758304214,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000007469
1409,"アカデミック・スキル","理系英語のプレゼンテーション （理系たまごシリーズ . 世界で活躍する理工系研究者を目指して 4）","野口, ジュディー,幸重, 美津子,",2007,2017,アルク,9784757411470,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000042696
2026,"アカデミック・スキル",大学生のための教科書,"大学生のための教科書編集委員会",2021,2021,東京書籍,9784487814879,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000102934
2027,"アカデミック・スキル",大学生学びのハンドブック ―勉強法がよくわかる!―5訂版,"世界思想社編集部",2021,2021,世界思想社,9784790717492,https://elib.maruzen.co.jp/elib/html/BookDetail/Id/3000101408
